Metric,Value
design__instance__count,139653
design__instance__area,1.16495E+6
design__instance_unmapped__count,0
synthesis__check_error__count,1853
design__max_slew_violation__count__corner:nom_tt_025C_1v80,458
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,276
design__max_cap_violation__count__corner:nom_tt_025C_1v80,18
power__internal__total,63952824.0
power__switching__total,0.002048963913694024
power__leakage__total,0.000136479182401672
power__total,63952824.0
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.789753396144573
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.1270948937622007
timing__hold__ws__corner:nom_tt_025C_1v80,1.2041008531064985
timing__setup__ws__corner:nom_tt_025C_1v80,1.6637944826132962
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.729529
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.648131
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,918
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,276
design__max_cap_violation__count__corner:nom_ss_100C_1v60,90
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.5072865604501464
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.9597874988661848
timing__hold__ws__corner:nom_ss_100C_1v60,2.4639038173798538
timing__setup__ws__corner:nom_ss_100C_1v60,-1.99700350797179
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-61.166788920728855
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.99700350797179
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.538760
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,103
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.151315
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,406
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,276
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,9
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.513554768802155
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.7975105246370153
timing__hold__ws__corner:nom_ff_n40C_1v95,0.8362173412622503
timing__setup__ws__corner:nom_ff_n40C_1v95,3.225192648680239
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.074278
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.797846
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,358
design__max_fanout_violation__count__corner:min_tt_025C_1v80,276
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.800218358670659
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.1236953907646539
timing__hold__ws__corner:min_tt_025C_1v80,1.353768691021482
timing__setup__ws__corner:min_tt_025C_1v80,2.097369448593286
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,1.692019
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.845319
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,752
design__max_fanout_violation__count__corner:min_ss_100C_1v60,276
design__max_cap_violation__count__corner:min_ss_100C_1v60,67
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.483586850917805
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.91284860032514
timing__hold__ws__corner:min_ss_100C_1v60,2.4824187852405615
timing__setup__ws__corner:min_ss_100C_1v60,-1.3995134336434667
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-38.211610956968975
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-1.3995134336434667
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.482419
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,80
timing__setup_r2r__ws__corner:min_ss_100C_1v60,10.416669
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,303
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,276
design__max_cap_violation__count__corner:min_ff_n40C_1v95,4
